frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
1,404.33589935302734,299.61052894592285,0.8308681845664978,442.00756072998047,241.70886039733887,0.8467316031455994,338.2392120361328,249.06744003295898,0.8960236310958862,480.43575286865234,247.25111961364746,0.0010000000474974513,255.9126853942871,277.7109146118164,0.9524267315864563,544.8428344726562,427.87078857421875,0.0010000000474974513,133.8210105895996,513.574390411377,0.0010000000474974513,665.2017211914062,552.3688316345215,0.0007582844118587673,133.8210105895996,513.574390411377,9.999999747378752e-06,665.2017211914062,552.3688316345215,9.999999747378752e-06,133.8210105895996,513.574390411377,9.999999747378752e-06,613.7744140625,706.1549949645996,0.00046542802010662854,133.8210105895996,513.574390411377,9.999999747378752e-06,613.7744140625,706.1549949645996,9.999999747378752e-06,133.8210105895996,513.574390411377,9.999999747378752e-06,613.7744140625,706.1549949645996,9.999999747378752e-06,133.8210105895996,513.574390411377,9.999999747378752e-06
2,405.2366638183594,299.97233390808105,0.8336616158485413,444.72721099853516,242.1909999847412,0.8785960674285889,342.08011627197266,249.95427131652832,0.9144750833511353,483.4416198730469,243.08918952941895,0.0010000000474974513,256.40674591064453,276.3439750671387,0.9588563442230225,557.768669128418,453.7471103668213,0.0010000000474974513,138.86072158813477,510.9004783630371,0.0010000000474974513,663.4304046630859,557.9562950134277,0.0004441582423169166,138.86072158813477,510.9004783630371,9.999999747378752e-06,663.4304046630859,557.9562950134277,9.999999747378752e-06,138.86072158813477,510.9004783630371,9.999999747378752e-06,557.768669128418,453.7471103668213,9.999999747378752e-06,138.86072158813477,510.9004783630371,9.999999747378752e-06,557.768669128418,453.7471103668213,9.999999747378752e-06,138.86072158813477,510.9004783630371,9.999999747378752e-06,557.768669128418,453.7471103668213,9.999999747378752e-06,138.86072158813477,510.9004783630371,9.999999747378752e-06
3,408.70513916015625,298.2336902618408,0.8312029242515564,447.7191925048828,244.3966770172119,0.8369330167770386,340.8256149291992,250.34448623657227,0.900603711605072,485.4268264770508,248.45572471618652,0.0010000000474974513,258.4607124328613,276.58656120300293,0.9609830379486084,574.0110397338867,449.19044494628906,0.0010000000474974513,130.40203094482422,515.9750175476074,0.0010000000474974513,662.7713775634766,547.0749092102051,0.00039018067764118314,130.40203094482422,515.9750175476074,9.999999747378752e-06,662.7713775634766,547.0749092102051,9.999999747378752e-06,130.40203094482422,515.9750175476074,9.999999747378752e-06,609.9444961547852,717.3466300964355,8.509604958817363e-05,130.40203094482422,515.9750175476074,9.999999747378752e-06,609.9444961547852,717.3466300964355,9.999999747378752e-06,130.40203094482422,515.9750175476074,9.999999747378752e-06,609.9444961547852,717.3466300964355,9.999999747378752e-06,130.40203094482422,515.9750175476074,9.999999747378752e-06
4,414.3583679199219,300.4860019683838,0.845313310623169,453.0277633666992,245.2628231048584,0.8269422054290771,346.4318084716797,249.0425205230713,0.9016000032424927,490.27454376220703,249.17298316955566,0.0010000000474974513,258.4980583190918,275.3052234649658,0.9705655574798584,553.2964706420898,439.8732089996338,0.0010000000474974513,138.21508407592773,518.7566184997559,0.0010000000474974513,664.8744201660156,550.0738334655762,0.0007383732008747756,138.21508407592773,518.7566184997559,9.999999747378752e-06,664.8744201660156,550.0738334655762,9.999999747378752e-06,138.21508407592773,518.7566184997559,9.999999747378752e-06,610.94482421875,713.3903503417969,0.0003081208560615778,138.21508407592773,518.7566184997559,9.999999747378752e-06,610.94482421875,713.3903503417969,9.999999747378752e-06,138.21508407592773,518.7566184997559,9.999999747378752e-06,610.94482421875,713.3903503417969,9.999999747378752e-06,138.21508407592773,518.7566184997559,9.999999747378752e-06
5,431.08360290527344,294.51467514038086,0.9132945537567139,464.5124816894531,235.9951400756836,0.9670882225036621,357.994384765625,246.02909088134766,0.9187579154968262,499.58282470703125,229.477858543396,0.0010000000474974513,265.4387855529785,278.29190254211426,0.8705027103424072,536.0651397705078,431.6001605987549,0.0010000000474974513,141.79022789001465,518.5447311401367,0.0010000000474974513,657.8190612792969,570.1212501525879,0.0007050919812172651,141.79022789001465,518.5447311401367,9.999999747378752e-06,657.8190612792969,570.1212501525879,9.999999747378752e-06,141.79022789001465,518.5447311401367,9.999999747378752e-06,599.9234390258789,726.0725212097168,0.0003771454794332385,141.79022789001465,518.5447311401367,9.999999747378752e-06,599.9234390258789,726.0725212097168,9.999999747378752e-06,141.79022789001465,518.5447311401367,9.999999747378752e-06,599.9234390258789,726.0725212097168,9.999999747378752e-06,141.79022789001465,518.5447311401367,9.999999747378752e-06
6,427.7787780761719,295.92061042785645,0.9091879725456238,464.89383697509766,235.47061443328857,0.9749511480331421,359.6995162963867,242.2478485107422,0.8872786164283752,498.5381317138672,229.03701782226562,0.0010000000474974513,262.9461479187012,277.0428657531738,0.8540419936180115,538.6752700805664,437.0188236236572,0.0010000000474974513,144.2442798614502,518.4482002258301,0.0010000000474974513,656.7153930664062,563.4843635559082,0.0007798497681505978,144.2442798614502,518.4482002258301,9.999999747378752e-06,656.7153930664062,563.4843635559082,9.999999747378752e-06,144.2442798614502,518.4482002258301,9.999999747378752e-06,602.6511383056641,726.6632080078125,0.0004182772827334702,144.2442798614502,518.4482002258301,9.999999747378752e-06,602.6511383056641,726.6632080078125,9.999999747378752e-06,144.2442798614502,518.4482002258301,9.999999747378752e-06,602.6511383056641,726.6632080078125,9.999999747378752e-06,144.2442798614502,518.4482002258301,9.999999747378752e-06
7,423.9031219482422,292.6358127593994,0.7992880940437317,456.7485046386719,238.14072132110596,0.8325498700141907,354.1228485107422,245.41531562805176,0.8688750267028809,493.0294418334961,237.70398616790771,0.0010000000474974513,266.58546447753906,280.91872215270996,0.9536368250846863,571.6114044189453,439.3761348724365,0.0010000000474974513,142.71952629089355,517.653865814209,0.0010000000474974513,666.5264129638672,564.5484924316406,0.0010000000474974513,142.71952629089355,517.653865814209,9.999999747378752e-06,666.5264129638672,564.5484924316406,9.999999747378752e-06,142.71952629089355,517.653865814209,9.999999747378752e-06,601.8787384033203,733.3280754089355,0.0004804176278412342,142.71952629089355,517.653865814209,9.999999747378752e-06,601.8787384033203,733.3280754089355,9.999999747378752e-06,142.71952629089355,517.653865814209,9.999999747378752e-06,601.8787384033203,733.3280754089355,9.999999747378752e-06,142.71952629089355,517.653865814209,9.999999747378752e-06
8,428.19034576416016,292.1748161315918,0.9233292937278748,461.6763687133789,235.64035892486572,0.9735864400863647,356.6762924194336,243.36456298828125,0.9274753332138062,492.9132843017578,246.30972862243652,0.0010000000474974513,262.7346420288086,279.01001930236816,0.8516176342964172,582.0135879516602,441.2973403930664,0.0010000000474974513,146.05707168579102,515.8747673034668,0.0010000000474974513,673.5066986083984,566.4508438110352,0.00030661444179713726,146.05707168579102,515.8747673034668,9.999999747378752e-06,673.5066986083984,566.4508438110352,9.999999747378752e-06,146.05707168579102,515.8747673034668,9.999999747378752e-06,608.1653594970703,750.099048614502,8.534464723197743e-05,146.05707168579102,515.8747673034668,9.999999747378752e-06,608.1653594970703,750.099048614502,9.999999747378752e-06,146.05707168579102,515.8747673034668,9.999999747378752e-06,608.1653594970703,750.099048614502,9.999999747378752e-06,146.05707168579102,515.8747673034668,9.999999747378752e-06
9,423.74889373779297,294.126033782959,0.7912930250167847,459.7695541381836,237.31975078582764,0.8378764986991882,354.74292755126953,245.98774909973145,0.8740601539611816,497.1035385131836,235.36810398101807,0.0010000000474974513,264.79236602783203,280.295934677124,0.9489272236824036,527.150764465332,458.95262718200684,0.0010000000474974513,144.63041305541992,514.5717430114746,0.0010000000474974513,644.3447875976562,563.9126586914062,0.00025244205608032644,144.63041305541992,514.5717430114746,9.999999747378752e-06,644.3447875976562,563.9126586914062,9.999999747378752e-06,144.63041305541992,514.5717430114746,9.999999747378752e-06,527.150764465332,458.95262718200684,9.999999747378752e-06,144.63041305541992,514.5717430114746,9.999999747378752e-06,527.150764465332,458.95262718200684,9.999999747378752e-06,144.63041305541992,514.5717430114746,9.999999747378752e-06,527.150764465332,458.95262718200684,9.999999747378752e-06,144.63041305541992,514.5717430114746,9.999999747378752e-06
10,422.5062561035156,295.0583839416504,0.7784295082092285,458.6789321899414,237.52997875213623,0.814769983291626,354.7901153564453,247.55252838134766,0.8896340131759644,494.8323059082031,243.73217582702637,0.0010000000474974513,264.3594741821289,280.49795150756836,0.9490258097648621,529.9138641357422,439.2014980316162,0.0010000000474974513,138.38130950927734,522.0128059387207,0.0010000000474974513,577.188606262207,571.9344520568848,0.0006703821127302945,138.38130950927734,522.0128059387207,9.999999747378752e-06,577.188606262207,571.9344520568848,9.999999747378752e-06,138.38130950927734,522.0128059387207,9.999999747378752e-06,447.65769958496094,781.4909362792969,0.00027994680567644536,138.38130950927734,522.0128059387207,9.999999747378752e-06,447.65769958496094,781.4909362792969,9.999999747378752e-06,138.38130950927734,522.0128059387207,9.999999747378752e-06,447.65769958496094,781.4909362792969,9.999999747378752e-06,138.38130950927734,522.0128059387207,9.999999747378752e-06
11,425.61206817626953,294.3368339538574,0.8103786706924438,460.32337188720703,240.93695640563965,0.8581988215446472,354.77413177490234,245.5510711669922,0.8887439370155334,496.3585662841797,234.5238447189331,0.0010000000474974513,267.133846282959,280.6897830963135,0.9610303640365601,513.2246780395508,453.8568592071533,0.0010000000474974513,141.18388175964355,514.6258735656738,0.0010000000474974513,648.2178497314453,568.7939643859863,0.0004629902832675725,141.18388175964355,514.6258735656738,9.999999747378752e-06,648.2178497314453,568.7939643859863,9.999999747378752e-06,141.18388175964355,514.6258735656738,9.999999747378752e-06,457.0258331298828,774.283618927002,4.103378523723222e-05,141.18388175964355,514.6258735656738,9.999999747378752e-06,457.0258331298828,774.283618927002,9.999999747378752e-06,141.18388175964355,514.6258735656738,9.999999747378752e-06,457.0258331298828,774.283618927002,9.999999747378752e-06,141.18388175964355,514.6258735656738,9.999999747378752e-06
12,425.54100036621094,291.1655902862549,0.7904316782951355,461.8546676635742,236.74834728240967,0.8463691473007202,353.69129180908203,243.67956161499023,0.8793663382530212,498.8832473754883,235.8436918258667,0.0010000000474974513,268.1113052368164,279.80798721313477,0.970363199710846,514.4869995117188,439.0792179107666,0.0010000000474974513,137.80699729919434,519.6136665344238,0.0010000000474974513,574.0490341186523,577.0872688293457,0.0010000000474974513,137.80699729919434,519.6136665344238,9.999999747378752e-06,574.0490341186523,577.0872688293457,9.999999747378752e-06,137.80699729919434,519.6136665344238,9.999999747378752e-06,464.7089385986328,781.9311332702637,0.0005802601808682084,137.80699729919434,519.6136665344238,9.999999747378752e-06,464.7089385986328,781.9311332702637,9.999999747378752e-06,137.80699729919434,519.6136665344238,9.999999747378752e-06,464.7089385986328,781.9311332702637,9.999999747378752e-06,137.80699729919434,519.6136665344238,9.999999747378752e-06
13,436.09214782714844,286.1930751800537,0.8338178396224976,468.74385833740234,227.61996746063232,0.9760110974311829,362.7690124511719,233.0430793762207,0.8461934328079224,501.10538482666016,224.37914371490479,0.0010000000474974513,270.0229072570801,270.74535369873047,0.8070451617240906,489.1845703125,428.2407474517822,0.0010000000474974513,146.41789436340332,506.09596252441406,0.0010000000474974513,567.3820877075195,573.4661293029785,0.0010000000474974513,146.41789436340332,506.09596252441406,9.999999747378752e-06,567.3820877075195,573.4661293029785,9.999999747378752e-06,146.41789436340332,506.09596252441406,9.999999747378752e-06,478.01883697509766,810.7649230957031,0.0010000000474974513,146.41789436340332,506.09596252441406,9.999999747378752e-06,478.01883697509766,810.7649230957031,9.999999747378752e-06,146.41789436340332,506.09596252441406,9.999999747378752e-06,478.01883697509766,810.7649230957031,9.999999747378752e-06,146.41789436340332,506.09596252441406,9.999999747378752e-06
